,0
1390,-32
1391,-34
1392,-28
1393,-80
1394,-33
1395,-30
1396,-38
1397,-35
1398,-27
1399,-30
1400,-29
1401,-29
1402,-106
1403,-34
1404,-42
1405,-54
1406,-34
1407,-35
1408,-33
1409,-27
1410,-30
1411,-105
1412,-31
1413,-41
1414,-38
1415,-31
1416,-34
1417,-33
1418,-33
1419,-31
1420,-32
1421,-27
1422,-37
1423,-32
1424,-36
1425,-33
1426,-33
1427,-29
1428,-27
1429,-32
1430,-36
1431,-30
1432,-29
1433,-29
1434,-28
1435,-29
1436,-31
1437,-31
1438,-28
1439,-31
1440,-30
1441,-29
1442,-29
1443,-35
1444,-27
1445,-27
1446,-28
1447,-27
1448,-31
1449,-33
1450,-32
1451,-27
1452,-31
1453,-28
1454,-27
1455,-31
1456,-31
1457,-32
1458,-29
1459,-27
1460,-29
1461,-29
1462,-36
1463,-29
1464,-31
1465,-39
1466,-27
1467,-33
1468,-31
1469,-29
1470,-29
1471,-34
1472,-31
1473,-27
1474,-27
1475,-34
1476,-27
1477,-30
1478,-27
1479,-31
1480,-30
1481,-29
1482,-29
1483,-28
1484,-34
1485,-30
1486,-30
1487,-35
1488,-29
1489,-28
1490,-28
1491,-31
1492,-31
1493,-31
1494,-29
1495,-32
1496,-27
1497,-31
1498,-37
1499,-30
1500,-27
1501,-108
1502,-27
1503,-28
1504,-31
1505,-31
1506,-87
1507,-87
1508,-145
1509,-49
1510,-44
1511,-156
1512,-197
1513,-40
1514,-34
1515,-42
1516,-54
1517,-31
1518,-49
1519,-44
1520,-44
1521,-41
1522,-103
1523,-29
1524,-30
1525,-39
1526,-38
1527,-38
1528,-33
1529,-48
1530,-32
1531,-36
1532,-40
1533,-33
1534,-35
1535,-42
1536,-39
1537,-38
1538,-29
1539,-45
1540,-43
1541,-31
1542,-39
1543,-51
1544,-31
1545,-38
1546,-30
1547,-29
1548,-33
1549,-50
1550,-42
1551,-30
1552,-30
1553,-35
1554,-31
1555,-30
1556,-31
1557,-31
1558,-34
1559,-27
1560,-29
1561,-29
1562,-29
1563,-29
1564,-36
1565,-29
1566,-31
1567,-29
1568,-30
1569,-29
1570,-30
1571,-32
1572,-33
1573,-29
1574,-36
1575,-29
1576,-43
1577,-35
1578,-32
1579,-29
1580,-31
1581,-33
1582,-29
1583,-28
1584,-29
1585,-33
1586,-27
1587,-27
1588,-27
1589,-36
1590,-31
1591,-29
1592,-29
1593,-29
1594,-29
1595,-29
1596,-32
1597,-32
1598,-29
1599,-37
1600,-27
1601,-32
1602,-27
1603,-31
1604,-33
1605,-29
1606,-35
1607,-28
1608,-29
1609,-31
1610,-29
1611,-40
1612,-29
1613,-27
1614,-34
1615,-29
1616,-31
1617,-29
1618,-29
1619,-28
1620,-27
1621,-29
1622,-27
1623,-28
1624,-30
1625,-29
1626,-29
1627,-30
1628,-29
1629,-32
1630,-29
1631,-31
1632,-28
1633,-27
1634,-31
1635,-27
1636,-29
1637,-30
1638,-30
1639,-30
1640,-29
1641,-33
1642,-28
1643,-37
1644,-31
1645,-28
1646,-29
1647,-27
1648,-29
1649,-32
1650,-35
1651,-33
1652,-27
1653,-34
1654,-37
1655,-31
1656,-33
1657,-31
1658,-29
1659,-28
1660,-27
1661,-32
1662,-28
1663,-31
1664,-35
1665,-37
1666,-27
1667,-33
1668,-32
1669,-28
1670,-27
1671,-29
1672,-29
1673,-36
1674,-32
1675,-27
1676,-33
1677,-35
1678,-29
1679,-27
1680,-30
1681,-27
1682,-30
1683,-27
1684,-30
1685,-29
1686,-31
1687,-31
1688,-29
1689,-27
1690,-27
1691,-28
1692,-31
1693,-29
1694,-29
1695,-31
1696,-30
1697,-31
1698,-32
1699,-32
1700,-30
1701,-30
1702,-29
1703,-29
1704,-27
1705,-29
1706,-29
1707,-36
1708,-34
1709,-37
1710,-30
1711,-42
1712,-27
1713,-27
1714,-35
1715,-27
1716,-34
1717,-35
1718,-32
1719,-34
1720,-29
1721,-30
1722,-27
1723,-29
1724,-28
1725,-36
1726,-30
1727,-31
1728,-38
1729,-33
1730,-34
1731,-31
1732,-33
1733,-31
1734,-35
1735,-29
1736,-27
1737,-29
1738,-27
1739,-31
1740,-38
1741,-29
1742,-42
1743,-29
1744,-27
1745,-28
1746,-27
1747,-27
1748,-28
1749,-32
1750,-27
1751,-31
1752,-29
1753,-30
1754,-29
1755,-29
1756,-35
1757,-28
1758,-31
1759,-28
1760,-29
1761,-29
1762,-31
1763,-31
1764,-31
1765,-29
1766,-29
1767,-34
1768,-35
1769,-27
1770,-32
1771,-29
1772,-27
1773,-32
1774,-27
1775,-30
1776,-34
1777,-35
1778,-29
1779,-27
1780,-38
1781,-29
1782,-29
1783,-34
1784,-32
1785,-28
1786,-34
1787,-27
1788,-28
1789,-29
1790,-27
1791,-31
1792,-28
1793,-39
1794,-30
1795,-33
1796,-32
1797,-27
1798,-39
1799,-29
1800,-31
1801,-33
1802,-31
1803,-27
1804,-33
1805,-33
1806,-29
1807,-31
1808,-32
1809,-109
1810,-32
1811,-27
1812,-31
1813,-28
1814,-31
1815,-43
1816,-33
1817,-29
1818,-27
1819,-29
1820,-30
1821,-31
1822,-30
1823,-33
1824,-31
1825,-29
1826,-28
1827,-32
1828,-29
1829,-35
1830,-27
1831,-27
1832,-29
1833,-34
1834,-31
1835,-27
1836,-33
1837,-29
1838,-37
1839,-36
1840,-33
1841,-29
1842,-31
1843,-33
1844,-27
1845,-32
1846,-30
1847,-33
1848,-29
1849,-33
1850,-34
1851,-27
1852,-31
1853,-30
1854,-29
1855,-31
1856,-28
1857,-37
1858,-36
1859,-27
1860,-31
1861,-27
1862,-28
1863,-30
1864,-30
1865,-29
1866,-33
1867,-31
1868,-27
1869,-27
1870,-28
1871,-36
1872,-31
1873,-29
1874,-29
1875,-29
1876,-32
1877,-31
1878,-36
1879,-32
1880,-35
1881,-29
1882,-33
1883,-41
1884,-29
1885,-31
1886,-30
1887,-29
1888,-33
1889,-31
1890,-44
1891,-32
1892,-32
1893,-29
1894,-27
1895,-38
1896,-28
1897,-31
1898,-34
1899,-34
1900,-28
1901,-29
1902,-29
1903,-27
1904,-27
1905,-31
1906,-27
1907,-30
1908,-30
1909,-30
1910,-30
1911,-32
1912,-31
1913,-37
1914,-29
1915,-27
1916,-34
1917,-42
1918,-27
1919,-27
1920,-29
1921,-33
1922,-29
1923,-29
1924,-28
1925,-31
1926,-28
1927,-29
1928,-30
1929,-44
1930,-30
1931,-33
1932,-34
1933,-40
1934,-34
1935,-31
1936,-29
1937,-27
1938,-27
1939,-35
1940,-27
1941,-27
1942,-27
1943,-27
1944,-30
1945,-27
1946,-35
1947,-33
1948,-29
1949,-35
1950,-30
1951,-29
1952,-33
1953,-27
1954,-34
1955,-33
1956,-39
1957,-31
1958,-28
1959,-42
1960,-29
1961,-40
1962,-28
1963,-31
1964,-31
1965,-36
1966,-27
1967,-29
1968,-27
1969,-27
1970,-31
1971,-27
1972,-29
1973,-29
1974,-29
1975,-32
1976,-32
1977,-30
1978,-30
1979,-28
1980,-31
1981,-30
1982,-29
1983,-27
1984,-29
1985,-36
1986,-29
1987,-27
1988,-32
1989,-35
1990,-27
1991,-31
1992,-33
1993,-29
1994,-29
1995,-31
1996,-27
1997,-28
1998,-28
1999,-31
2000,-37
2001,-29
2002,-30
2003,-32
2004,-28
2005,-30
2006,-30
2007,-30
2008,-29
2009,-34
2010,-28
2011,-40
2012,-39
2013,-33
2014,-33
2015,-31
2016,-29
2017,-27
2018,-33
2019,-31
2020,-28
2021,-29
2022,-32
2023,-35
2024,-35
2025,-31
2026,-31
2027,-30
2028,-29
2029,-29
2030,-30
2031,-31
2032,-33
2033,-27
2034,-32
2035,-27
2036,-27
2037,-31
2038,-27
2039,-33
2040,-28
2041,-29
2042,-27
2043,-32
2044,-29
2045,-28
2046,-37
2047,-33
2048,-34
2049,-31
2050,-29
2051,-27
2052,-27
2053,-29
2054,-35
2055,-30
2056,-30
2057,-30
2058,-32
2059,-36
2060,-43
2061,-30
2062,-31
2063,-29
2064,-27
2065,-32
2066,-27
2067,-27
2068,-27
2069,-32
2070,-31
2071,-27
2072,-28
2073,-27
2074,-31
2075,-30
2076,-39
2077,-35
2078,-34
2079,-32
2080,-30
2081,-32
2082,-31
2083,-29
2084,-30
2085,-34
2086,-31
2087,-30
2088,-31
2089,-31
2090,-30
2091,-30
2092,-29
2093,-33
2094,-117
2095,-29
2096,-29
2097,-29
2098,-28
2099,-29
2100,-34
2101,-29
2102,-34
2103,-28
2104,-27
2105,-27
2106,-34
2107,-32
2108,-29
2109,-33
2110,-30
2111,-34
2112,-27
2113,-31
2114,-28
2115,-29
2116,-29
2117,-31
2118,-29
2119,-36
2120,-33
2121,-27
2122,-31
2123,-30
2124,-36
2125,-27
2126,-30
2127,-29
2128,-31
2129,-33
2130,-32
2131,-27
2132,-34
2133,-30
2134,-33
2135,-31
2136,-30
2137,-31
2138,-29
2139,-30
2140,-35
2141,-29
2142,-31
2143,-27
2144,-28
2145,-36
2146,-32
2147,-33
2148,-28
2149,-29
2150,-28
2151,-29
2152,-27
2153,-27
2154,-36
2155,-27
2156,-29
2157,-30
2158,-27
2159,-29
2160,-28
2161,-33
2162,-27
2163,-33
2164,-40
2165,-29
2166,-32
2167,-32
2168,-27
2169,-37
2170,-29
2171,-27
2172,-31
2173,-31
2174,-29
2175,-33
2176,-27
2177,-28
2178,-31
2179,-29
2180,-27
2181,-27
2182,-29
2183,-29
2184,-27
2185,-37
2186,-27
2187,-30
2188,-30
2189,-29
2190,-33
2191,-27
2192,-29
2193,-35
2194,-33
2195,-31
2196,-32
2197,-31
2198,-31
2199,-33
2200,-32
2201,-36
2202,-30
2203,-30
2204,-28
2205,-27
2206,-27
2207,-27
2208,-27
2209,-33
2210,-28
2211,-30
2212,-28
2213,-37
2214,-30
2215,-28
2216,-32
2217,-27
2218,-31
2219,-29
2220,-31
2221,-33
2222,-35
2223,-29
2224,-29
2225,-32
2226,-33
2227,-27
2228,-28
2229,-30
2230,-27
2231,-29
2232,-35
2233,-31
2234,-27
2235,-27
2236,-30
2237,-27
2238,-28
2239,-30
2240,-31
2241,-34
2242,-33
2243,-29
2244,-27
2245,-38
2246,-27
2247,-27
2248,-34
2249,-29
2250,-28
2251,-30
2252,-28
2253,-30
2254,-27
2255,-29
2256,-29
2257,-30
2258,-34
2259,-31
2260,-29
2261,-33
2262,-29
2263,-29
2264,-28
2265,-29
2266,-28
2267,-31
2268,-28
2269,-29
2270,-29
2271,-33
2272,-28
2273,-29
2274,-27
2275,-33
2276,-45
2277,-32
2278,-27
2279,-35
2280,-32
2281,-29
2282,-30
2283,-28
2284,-28
2285,-30
2286,-35
2287,-33
2288,-31
2289,-32
2290,-30
2291,-38
2292,-30
2293,-29
2294,-28
2295,-29
2296,-29
2297,-29
2298,-30
2299,-31
2300,-30
2301,-27
2302,-27
2303,-32
2304,-29
2305,-29
2306,-29
2307,-34
2308,-29
2309,-30
2310,-30
2311,-34
2312,-30
2313,-33
2314,-27
2315,-27
2316,-29
2317,-27
2318,-31
2319,-32
2320,-28
2321,-30
2322,-27
2323,-31
2324,-33
2325,-32
2326,-29
2327,-30
2328,-33
2329,-27
2330,-27
2331,-29
2332,-30
2333,-32
2334,-31
2335,-32
2336,-32
2337,-29
2338,-27
2339,-33
2340,-39
2341,-32
2342,-27
2343,-32
2344,-30
2345,-27
2346,-27
2347,-27
2348,-37
2349,-28
2350,-27
2351,-34
2352,-31
2353,-27
2354,-38
2355,-31
2356,-29
2357,-29
2358,-27
