number of states,n of steps,alpha,n_episodes,sigma,RMSE
19,3,0.4,73,0.25,0.015860745077446017
19,3,0.4,74,0.25,0.01595874817834921
19,3,0.4,75,0.25,0.01611203410617157
19,3,0.4,76,0.25,0.01642135686195975
19,3,0.4,77,0.25,0.016490370906070643
19,3,0.4,78,0.25,0.016408173296141627
19,3,0.4,79,0.25,0.0163097298705028
19,3,0.4,80,0.25,0.015760741828974297
19,3,0.4,81,0.25,0.015894491692382405
19,3,0.4,82,0.25,0.015597745309723186
19,3,0.4,83,0.25,0.015078382301257982
19,3,0.4,84,0.25,0.014906981113208049
19,3,0.4,85,0.25,0.014808473524078743
19,3,0.4,86,0.25,0.014868616033299063
19,3,0.4,87,0.25,0.014859780876385526
19,3,0.4,88,0.25,0.015088124317057288
19,3,0.4,89,0.25,0.015212140096276045
19,3,0.4,90,0.25,0.014805342084978992
19,3,0.4,91,0.25,0.015109710659297514
19,3,0.4,92,0.25,0.015091556270004455
19,3,0.4,93,0.25,0.015008383383460713
19,3,0.4,94,0.25,0.015215550186380442
19,3,0.4,95,0.25,0.01518198651684794
19,3,0.4,96,0.25,0.015080443508988052
19,3,0.4,97,0.25,0.015028853268712285
19,3,0.4,98,0.25,0.015129811470880512
19,3,0.4,99,0.25,0.014985894907475992
19,3,0.4,100,0.25,0.015099984648194238
19,3,0.4,1,0.5,0.2578120015944142
19,3,0.4,2,0.5,0.24285478234742025
