"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')"
201.0,201.0
188.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
155.33333333333334,201.0
201.0,201.0
195.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
176.33333333333334,201.0
183.33333333333334,201.0
201.0,201.0
201.0,201.0
191.0,201.0
193.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
166.66666666666666,201.0
201.0,201.0
192.66666666666666,201.0
186.33333333333334,201.0
201.0,201.0
191.33333333333334,201.0
179.0,201.0
201.0,201.0
165.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
197.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
190.0,201.0
179.66666666666666,201.0
189.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
170.0,201.0
176.33333333333334,201.0
189.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
182.66666666666666,201.0
201.0,201.0
201.0,201.0
186.33333333333334,201.0
187.33333333333334,201.0
184.66666666666666,201.0
201.0,201.0
160.0,201.0
182.66666666666666,201.0
196.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
200.0,201.0
201.0,201.0
197.33333333333334,201.0
173.0,201.0
195.66666666666666,201.0
201.0,201.0
170.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
189.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
170.33333333333334,201.0
201.0,201.0
190.0,201.0
201.0,201.0
179.33333333333334,201.0
201.0,201.0
201.0,201.0
171.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
173.66666666666666,201.0
201.0,201.0
201.0,201.0
161.66666666666666,201.0
165.66666666666666,201.0
201.0,201.0
198.66666666666666,201.0
185.66666666666666,201.0
177.33333333333334,201.0
201.0,201.0
201.0,201.0
181.66666666666666,201.0
200.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
189.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
174.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
195.33333333333334,201.0
201.0,201.0
197.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
189.33333333333334,201.0
201.0,201.0
201.0,201.0
185.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
189.0,201.0
201.0,201.0
201.0,200.33333333333334
201.0,201.0
165.0,201.0
199.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
190.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
169.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
169.33333333333334,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
198.0,201.0
201.0,201.0
187.66666666666666,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
201.0,201.0
164.0,201.0
152.33333333333334,201.0
201.0,201.0
187.66666666666666,174.33333333333334
201.0,201.0
201.0,201.0
201.0,201.0
193.33333333333334,201.0
201.0,201.0
201.0,201.0
