"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
-13.1,-39.9,-5.0
-8.9,-18.3,-11.5
-12.5,-19.0,-12.1
-14.8,-10.1,-11.3
-13.2,-27.4,-7.3
-11.0,-16.0,-15.9
-6.3,-24.4,-10.4
-20.9,-18.3,-16.0
-12.3,-28.9,-9.2
-10.5,-19.5,-13.5
-15.3,-19.8,-5.1
-20.8,-28.1,-15.2
-11.3,-16.7,-7.7
-5.5,-26.4,-10.6
-11.0,-46.4,-6.0
-13.2,-21.0,-7.1
-6.5,-15.7,-13.0
-12.2,-33.2,-12.3
-7.4,-25.3,-8.0
-10.3,-19.8,-12.8
-9.7,-22.2,-9.1
-5.8,-29.5,-5.5
-14.7,-24.3,-12.3
-8.0,-29.2,-13.3
-10.5,-41.9,-7.1
-7.7,-18.0,-9.1
-13.2,-23.9,-13.9
-11.8,-12.7,-15.3
-6.7,-24.0,-16.3
-10.3,-15.9,-7.2
-12.2,-18.1,-13.0
-6.2,-17.3,-20.5
-9.5,-21.6,-11.1
-6.8,-21.9,-13.7
-8.0,-31.4,-7.4
-8.7,-20.3,-7.5
-20.0,-20.1,-10.7
-10.1,-15.6,-5.6
-7.9,-19.6,-3.9
-14.7,-18.9,-12.6
-7.8,-11.3,-11.4
-8.4,-17.8,-9.4
-13.4,-18.1,-7.8
-10.6,-19.5,-14.0
-3.6,-31.6,-7.4
-10.6,-13.8,-12.2
-3.3,-26.2,-12.8
-14.3,-16.7,-9.1
-7.0,-22.9,-6.0
-10.6,-19.6,-9.7
-10.1,-29.6,-8.4
-6.1,-18.5,-16.1
-12.1,-22.3,-9.4
-8.3,-16.4,-4.5
-8.5,-15.5,-7.4
-9.0,-18.0,-5.6
-12.0,-8.5,-22.5
-15.3,-14.5,-4.3
-9.1,-22.0,-15.4
-8.2,-23.9,-7.3
-10.3,-16.4,-9.2
-13.8,-18.3,-9.3
-8.8,-31.8,-16.7
-9.2,-17.7,-5.3
-5.3,-24.0,-11.4
-12.8,-20.0,-6.5
-0.8,-16.4,-12.6
-10.2,-36.0,-3.2
-4.5,-12.4,-8.3
-15.2,-26.1,-17.6
-12.9,-18.3,-8.3
-10.3,-14.0,-12.2
-9.5,-18.2,-9.0
-8.2,-22.5,-7.1
-9.0,-21.4,-11.9
-3.6,-17.4,-9.5
