greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
2.1,-16.9,3.4,-35.9
-1.3,-12.7,4.4,-4.7
-1.9,-16.3,4.4,-15.7
3.1,-4.9,4.8,-15.6
3.7,-13.8,5.3,-7.3
-4.4,-5.8,5.2,-5.9
2.2,-12.7,-14.2,-24.4
-17.5,-15.5,-8.4,-14.0
3.3,-3.7,2.8,-10.4
2.1,-4.8,5.3,-7.5
-3.5,-5.6,-6.4,-32.9
3.6,-7.4,4.5,-23.7
1.5,-5.6,-5.1,-6.0
2.3,-14.8,3.3,-14.1
0.5,-5.7,4.4,-1.2
-2.1,-4.4,3.2,-17.3
0.8,-5.2,2.0,-21.8
-5.8,-6.8,4.4,-29.3
0.6,-8.6,5.4,-14.0
1.9,-7.3,3.9,-13.1
-7.9,-9.0,-5.4,-13.2
4.0,-6.6,4.9,1.1
4.9,-6.8,4.1,-12.7
3.9,-4.9,4.6,-8.5
3.3,-1.6,-6.9,-20.4
-6.4,-4.9,5.3,1.1
3.1,-5.1,6.4,-20.1
-1.5,-34.0,2.4,-6.3
3.2,-6.8,4.8,-9.7
2.0,-8.0,4.1,-32.3
4.0,-4.9,4.6,-19.9
-9.3,-5.0,4.8,-4.9
3.2,-5.8,-5.2,-10.9
4.1,-19.4,5.1,-11.8
-5.2,-5.8,2.3,-3.0
4.3,-2.4,3.6,-10.0
3.1,-6.0,4.7,-4.1
-8.5,-4.9,4.8,-9.1
3.1,-12.2,-0.8,-13.7
2.8,-4.9,4.8,-11.0
2.8,-4.5,2.1,-6.6
2.6,-4.1,4.8,-3.6
3.3,-5.1,5.3,-2.5
3.0,-7.3,-5.5,-24.9
-6.7,-10.9,-5.2,-6.6
2.1,-17.0,5.6,-9.5
2.6,-11.5,5.2,-6.2
1.2,-6.5,0.8,-4.6
-7.6,-15.3,5.4,-3.3
3.5,-14.3,5.3,-2.8
3.8,-3.4,5.8,-3.7
-0.6,-12.9,4.8,-1.1
-18.9,-2.1,4.6,-4.0
3.9,-3.4,5.4,-12.7
2.8,-3.1,4.3,-13.3
2.8,-0.2,2.6,-4.5
2.9,-4.6,4.3,-22.0
3.6,-2.3,5.4,-5.0
3.1,-14.9,4.8,-6.9
3.5,-10.6,3.3,-1.3
2.6,-12.5,4.8,-2.4
2.8,-11.4,5.5,-6.6
2.3,-10.0,4.3,-4.0
4.0,-13.1,1.6,-11.5
2.4,-2.4,5.4,-16.1
2.2,-4.8,4.3,-3.3
2.8,-12.5,4.7,-3.0
3.9,0.1,3.7,-0.9
2.2,-1.7,5.3,-12.1
3.5,-1.7,4.4,-0.7
1.6,-4.2,4.5,-14.3
-10.4,-11.0,6.0,-9.4
3.3,-1.1,4.8,-1.6
3.8,-10.2,3.6,-4.0
3.9,-1.9,5.6,-2.5
1.5,-3.6,3.1,-3.0
3.2,-3.0,-5.5,-3.5
4.0,-2.1,3.8,-3.6
2.7,-9.9,4.8,-0.7
2.2,-11.3,4.9,-3.0
1.8,-0.7,-6.3,-5.0
2.3,-10.8,4.1,-2.1
3.7,-5.9,5.3,-4.3
3.7,-1.7,1.0,0.4
2.1,-2.6,4.0,-12.5
0.9,-0.7,5.4,-1.5
3.0,-2.3,5.0,-2.3
1.8,-0.1,-1.4,-2.7
3.2,0.4,4.3,-0.6
2.6,-3.2,5.4,-3.3
1.0,-2.5,3.9,-3.3
4.0,-1.7,5.8,-2.8
-8.5,2.4,4.3,-22.5
5.0,-17.8,-5.3,0.1
2.2,-1.2,5.0,-2.5
3.6,-4.7,5.7,-0.6
4.2,-2.5,1.8,-1.4
-6.5,-22.8,2.2,-3.3
1.0,-11.7,5.9,-1.6
-0.9,-1.3,3.7,-1.2
3.2,-11.5,2.7,-4.9
-3.6,-11.2,3.6,-0.7
2.4,0.7,3.6,-3.2
2.7,0.8,4.9,-7.9
-0.5,1.1,4.5,-5.7
2.3,-2.2,5.5,-0.9
1.3,-2.3,5.5,-6.0
-1.1,-2.4,5.0,-2.9
2.3,-10.1,2.6,-6.4
4.4,-4.0,4.3,-4.1
6.2,-2.0,5.7,-3.1
2.7,-3.5,5.1,0.0
4.7,1.6,4.7,1.0
-5.6,-1.1,5.2,-2.4
5.4,-1.9,6.3,-6.3
4.0,-3.7,4.1,-12.8
5.0,-1.7,4.8,-6.0
3.5,-2.5,4.4,-3.6
3.4,-16.3,4.9,-2.6
3.1,-1.7,4.5,-0.7
5.5,-2.5,5.3,-2.7
4.6,-1.0,4.1,-1.1
4.8,-0.7,2.0,0.4
5.0,-1.0,4.5,-2.2
3.0,-2.8,4.4,-7.0
5.3,-1.7,5.4,-0.7
4.1,-2.2,3.1,-0.7
4.2,-13.1,5.4,-0.1
4.9,-19.1,5.4,-0.8
4.5,-4.0,2.9,-1.4
4.8,-1.9,3.1,-4.2
5.2,-6.0,5.5,-2.2
5.4,0.6,5.6,-1.2
4.1,-12.1,3.7,0.5
3.1,-12.7,5.2,0.6
5.1,-1.1,4.3,-17.2
2.4,-0.3,3.7,-4.2
4.6,-8.8,5.8,-1.6
3.6,-15.7,4.8,-1.3
4.5,-2.7,5.2,-5.3
4.8,-1.0,5.0,-2.2
5.8,-2.8,5.0,-0.9
4.3,-5.4,4.6,-2.1
4.6,-14.4,1.0,-1.8
4.2,-6.4,4.7,-1.0
2.8,-6.2,5.0,-2.9
3.0,-12.7,2.1,-4.6
2.7,-0.8,3.9,-0.3
3.8,-9.7,4.9,-0.5
5.9,0.5,4.8,-10.4
4.7,-0.3,4.1,-11.2
4.7,-21.1,4.8,0.0
4.7,-1.1,4.9,-1.8
2.5,-0.6,4.2,-1.5
4.2,-3.5,-5.1,-2.5
2.8,0.0,4.8,-1.0
-2.4,-1.0,-1.0,-2.2
-5.6,-0.1,4.4,-0.1
4.6,-0.1,3.5,-1.8
3.3,-2.3,5.4,-4.2
2.8,1.4,4.9,-1.4
0.7,-10.5,3.8,-2.6
3.9,-5.1,5.5,-0.7
4.4,1.4,5.0,-1.7
5.0,-0.7,-0.1,-0.3
-5.5,1.7,4.6,-1.7
4.6,-1.5,5.0,-1.4
3.9,-2.1,5.1,-0.6
5.6,-11.3,4.5,-3.1
4.5,-0.7,4.6,-14.4
5.1,-4.4,5.0,-3.5
4.7,-3.0,5.5,-1.2
4.6,-1.6,5.6,-2.5
4.1,-10.6,5.5,-0.9
3.2,-19.7,3.8,-2.7
4.5,-0.9,4.2,-11.9
3.9,2.6,4.6,-2.9
2.9,0.4,5.1,-1.3
5.2,-1.6,5.5,-0.8
3.3,-10.5,5.2,-0.6
4.7,-9.9,3.9,-2.5
4.9,-2.0,5.6,-2.6
5.3,-1.4,4.4,-11.3
5.8,-1.3,-5.7,-3.4
4.2,0.6,4.1,-2.5
4.9,0.0,5.8,-2.5
5.1,0.4,4.8,-2.0
3.9,0.9,4.4,-0.9
-0.7,-2.1,4.0,0.0
4.7,-9.8,3.7,0.0
5.8,1.4,3.7,-4.6
