,0
1996,-36
1997,-33
1998,-27
1999,-27
2000,-35
2001,-33
2002,-28
2003,-30
2004,-21
2005,-31
2006,-33
2007,-31
2008,-32
2009,-30
2010,-29
2011,-30
2012,-41
2013,-29
2014,-27
2015,-33
2016,-31
2017,-31
2018,-33
2019,-30
2020,-27
2021,-34
2022,-27
2023,-29
2024,-27
2025,-31
2026,-27
2027,-28
2028,-35
2029,-29
2030,-32
2031,-27
2032,-27
2033,-31
2034,-33
2035,-31
2036,-32
2037,-30
2038,-28
2039,-33
2040,-30
2041,-29
2042,-29
2043,-27
2044,-35
2045,-32
2046,-31
2047,-32
2048,-29
2049,-28
2050,-29
2051,-27
2052,-27
2053,-33
2054,-27
2055,-34
2056,-31
2057,-27
2058,-30
2059,-35
2060,-30
2061,-38
2062,-29
2063,-33
2064,-38
2065,-27
2066,-27
2067,-31
2068,-29
2069,-27
2070,-28
2071,-33
2072,-29
2073,-29
2074,-30
2075,-29
2076,-33
2077,-31
2078,-29
2079,-33
2080,-27
2081,-34
2082,-28
2083,-29
2084,-32
2085,-28
2086,-29
2087,-29
2088,-28
2089,-31
2090,-32
2091,-30
2092,-27
2093,-29
2094,-31
2095,-29
2096,-34
2097,-28
2098,-30
2099,-29
2100,-30
2101,-28
2102,-29
2103,-32
2104,-31
2105,-34
2106,-31
2107,-29
2108,-35
2109,-33
2110,-28
2111,-29
2112,-29
2113,-31
2114,-29
2115,-29
2116,-27
2117,-34
2118,-27
2119,-33
2120,-30
2121,-34
2122,-29
2123,-27
2124,-29
2125,-32
2126,-35
2127,-31
2128,-112
2129,-27
2130,-29
2131,-27
2132,-27
2133,-114
2134,-32
2135,-112
2136,-27
2137,-32
2138,-31
2139,-27
2140,-33
2141,-32
2142,-27
2143,-29
2144,-28
2145,-30
2146,-27
2147,-30
2148,-38
2149,-29
2150,-28
2151,-34
2152,-29
2153,-31
2154,-28
2155,-33
2156,-27
2157,-29
2158,-29
2159,-31
2160,-32
2161,-30
2162,-29
2163,-32
2164,-30
2165,-39
2166,-41
2167,-34
2168,-110
2169,-29
2170,-30
2171,-27
2172,-31
2173,-32
2174,-34
2175,-27
2176,-27
2177,-27
2178,-28
2179,-29
2180,-30
2181,-37
2182,-30
2183,-32
2184,-30
2185,-29
2186,-30
2187,-29
2188,-31
2189,-30
2190,-27
2191,-29
2192,-27
2193,-30
2194,-29
2195,-33
2196,-31
2197,-37
2198,-32
2199,-39
2200,-27
2201,-27
2202,-27
2203,-33
2204,-28
2205,-32
2206,-31
2207,-29
2208,-34
2209,-35
2210,-28
2211,-33
2212,-30
2213,-29
2214,-38
2215,-29
2216,-31
2217,-29
2218,-32
2219,-33
2220,-30
2221,-30
2222,-34
2223,-27
2224,-32
2225,-31
2226,-27
2227,-33
2228,-29
2229,-33
