"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
30.8,56.16,36.56
31.4,52.48,35.12
28.08,64.2,39.08
28.04,60.52,37.36
30.56,56.08,39.2
31.6,65.32,37.2
29.64,61.36,36.52
32.12,58.24,36.96
35.04,62.36,35.08
32.32,62.12,39.44
33.52,63.44,36.52
27.64,53.52,36.92
27.4,56.0,38.76
30.12,58.16,37.68
31.52,58.32,39.32
30.84,60.64,35.56
29.24,69.64,39.4
31.64,62.08,36.8
33.48,56.72,35.0
33.52,59.04,32.68
32.6,60.6,38.12
32.12,58.44,36.56
33.28,64.32,37.76
29.24,61.4,37.96
31.32,65.28,36.28
28.24,59.88,40.68
29.28,65.44,34.52
28.36,61.36,36.72
28.48,61.12,36.6
30.64,60.96,39.44
28.48,61.16,38.84
32.52,59.4,34.2
32.48,56.2,38.08
36.56,57.48,34.8
28.68,73.96,34.24
29.56,57.2,35.16
34.92,63.2,36.56
31.92,61.52,41.2
27.92,56.36,36.32
28.4,68.48,34.84
30.16,63.52,34.92
33.84,60.08,37.96
31.72,56.8,36.8
28.52,58.56,34.72
29.72,56.44,35.0
28.4,57.04,40.04
32.76,59.84,34.56
32.12,51.8,35.44
29.12,59.32,35.56
32.04,57.76,34.72
34.6,57.96,38.36
29.52,60.72,37.0
31.44,59.8,37.48
30.84,68.36,36.0
32.16,54.68,39.48
34.12,56.88,37.0
34.48,60.32,37.6
28.88,60.44,36.88
29.8,56.4,38.56
29.8,61.84,38.68
27.44,64.32,36.88
27.68,54.04,32.96
29.64,67.12,36.68
32.68,57.0,38.8
31.48,62.84,42.52
31.56,64.44,36.12
28.32,63.4,36.36
31.92,66.72,36.0
31.48,61.24,35.16
32.88,52.96,41.44
31.4,66.76,40.6
27.68,53.6,35.24
27.84,63.84,35.44
27.24,53.8,39.72
31.44,64.88,38.92
29.72,60.2,38.4
35.12,63.6,37.68
33.84,63.56,36.36
30.28,59.72,38.96
31.76,66.12,45.56
30.04,63.44,36.36
34.6,54.32,38.04
33.76,61.6,34.8
27.8,65.32,43.04
27.44,56.88,36.84
26.96,62.32,36.8
28.96,64.52,32.68
28.64,60.08,40.32
30.88,62.88,39.76
29.52,54.16,37.88
28.12,67.88,32.36
27.28,57.44,35.44
31.72,57.48,34.44
29.44,65.84,33.8
31.4,63.52,38.36
32.16,67.52,38.12
31.72,57.2,37.4
32.64,67.64,33.88
30.76,59.76,37.0
31.56,63.4,37.64
30.68,69.52,36.04
28.36,57.64,35.04
32.84,63.48,35.04
27.08,63.88,36.08
30.56,60.52,40.0
29.96,68.72,37.08
29.56,59.6,36.0
29.44,66.0,31.72
27.6,60.28,38.32
