"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
21.6,35.6,21.6
31.6,62.8,31.6
21.2,43.2,21.2
28.8,60.0,28.8
19.6,63.6,19.6
21.6,59.6,21.6
26.4,47.2,26.4
18.0,48.8,18.0
22.4,61.6,22.4
33.6,53.6,33.6
55.2,36.4,55.2
24.4,52.8,24.4
24.8,71.6,24.8
20.0,53.6,20.0
31.2,54.0,31.2
25.6,30.0,25.6
34.8,51.6,34.8
18.0,50.0,18.0
34.4,50.0,34.4
29.6,27.6,29.6
28.8,49.2,28.8
43.2,57.6,43.2
20.0,81.2,20.0
21.6,49.2,21.6
28.0,46.4,28.0
22.0,62.8,22.0
22.0,44.0,22.0
19.6,39.6,19.6
20.4,84.4,20.4
31.2,47.2,31.2
65.6,43.2,65.6
34.0,64.4,34.0
20.8,47.2,20.8
33.6,56.8,33.6
28.8,36.4,28.8
43.6,56.4,43.6
33.2,44.0,33.2
20.8,54.8,20.8
19.2,37.6,19.2
19.6,75.2,19.6
44.0,36.0,44.0
18.8,46.4,18.8
34.4,48.0,34.4
18.0,50.4,18.0
28.0,69.6,28.0
15.6,44.8,15.6
33.6,46.0,33.6
24.8,54.8,24.8
28.4,56.8,28.4
18.4,54.0,18.4
32.4,43.6,32.4
25.2,33.6,25.2
16.4,37.2,16.4
20.8,38.4,20.8
19.2,42.0,19.2
36.4,60.4,36.4
18.0,51.6,18.0
20.0,44.0,20.0
45.2,53.2,45.2
20.8,43.2,20.8
25.2,34.0,25.2
39.6,44.8,39.6
25.6,38.8,25.6
18.0,46.8,18.0
16.8,63.2,16.8
42.0,78.8,42.0
21.2,42.8,21.2
20.4,36.8,20.4
22.8,56.0,22.8
26.4,52.8,26.4
21.2,45.6,21.2
33.2,62.0,33.2
18.8,63.2,18.8
23.2,38.8,23.2
35.6,53.6,35.6
17.6,58.8,17.6
47.2,50.0,47.2
19.2,36.8,19.2
26.8,69.6,26.8
26.8,46.8,26.8
21.2,37.2,21.2
25.2,49.6,25.2
46.8,53.6,46.8
26.4,44.0,26.4
28.0,73.6,28.0
27.2,61.6,27.2
25.6,36.0,25.6
35.2,56.0,35.2
21.2,69.2,21.2
46.8,35.6,46.8
46.0,25.2,46.0
25.2,48.4,25.2
23.6,63.2,23.6
20.0,39.2,20.0
19.6,60.0,19.6
24.4,34.8,24.4
26.8,40.8,26.8
42.4,52.8,42.4
26.4,36.0,26.4
34.4,54.8,34.4
34.4,40.0,34.4
27.6,63.6,27.6
20.0,63.6,20.0
25.2,46.0,25.2
30.8,42.0,30.8
19.6,33.6,19.6
18.4,57.2,18.4
18.8,80.0,18.8
26.4,36.4,26.4
22.8,60.4,22.8
38.0,62.4,38.0
19.6,72.4,19.6
21.2,52.8,21.2
21.6,59.2,21.6
21.6,59.2,21.6
20.8,64.8,20.8
27.6,65.6,27.6
32.0,59.2,32.0
29.2,68.4,29.2
25.6,39.6,25.6
22.0,40.8,22.0
19.6,46.8,19.6
28.8,46.8,28.8
25.2,66.0,25.2
29.2,29.6,29.2
29.2,35.2,29.2
21.6,57.2,21.6
20.0,47.6,20.0
18.8,50.4,18.8
20.0,60.0,20.0
24.4,60.4,24.4
22.0,50.0,22.0
24.8,54.4,24.8
16.0,54.4,16.0
31.6,58.0,31.6
32.8,65.6,32.8
21.2,43.6,21.2
