"(0.5, 1000, 'constant-epsilon', 0.1, 1)","(0.75, 1000, 'greedy', 0, 20)","(1, 1000, 'epsilon_greedy', 0.1, 5)","(0.75, 1000, 'constant-epsilon', 0.1, 5)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
34.88,60.16,42.92,45.24,49.44
39.72,72.72,47.72,48.04,62.64
41.16,64.08,42.76,40.0,46.08
40.92,68.6,53.44,45.92,57.44
38.08,66.36,49.28,50.8,52.64
36.04,60.0,45.32,47.52,53.36
37.92,65.12,45.2,47.64,58.12
34.52,64.4,45.48,48.0,57.72
42.4,79.64,61.0,52.8,64.16
39.84,63.04,42.24,40.24,50.72
37.24,62.68,45.88,47.88,56.24
41.28,64.8,47.48,46.8,52.0
36.4,60.84,42.36,45.4,52.0
34.8,59.24,41.0,46.4,50.0
36.52,59.12,39.64,41.52,53.68
38.56,58.8,35.52,39.64,48.64
35.76,65.4,45.4,48.44,52.96
36.52,62.76,43.36,45.88,45.4
32.76,63.08,40.92,46.12,55.4
35.96,60.12,41.08,43.12,46.64
46.68,74.0,48.64,51.92,59.4
37.04,58.8,40.28,48.84,48.8
39.92,62.36,39.4,49.4,54.4
37.76,70.56,45.56,50.2,63.64
33.0,63.04,45.36,47.28,55.88
34.92,60.36,44.52,47.68,51.68
35.6,63.72,42.84,49.04,58.64
37.32,60.08,40.68,47.76,51.8
40.08,75.4,53.8,55.68,63.92
36.12,67.2,51.32,55.48,54.96
36.24,61.96,43.4,51.84,55.12
36.36,61.2,46.6,47.68,51.64
37.6,62.36,45.36,45.04,58.16
34.96,59.72,42.0,40.4,52.04
36.68,63.28,45.84,53.52,53.48
35.16,62.2,48.96,49.88,56.88
34.24,57.24,41.2,39.36,44.44
35.76,55.04,42.44,42.4,46.12
43.84,70.36,49.64,54.84,58.92
41.88,64.28,43.72,48.44,55.08
36.96,62.72,51.72,53.48,57.84
37.52,67.12,44.76,46.4,58.6
36.08,63.8,47.52,49.52,54.24
35.6,51.76,37.56,45.44,50.84
38.84,58.88,48.56,50.84,52.16
37.88,64.36,43.88,48.08,52.84
39.76,71.16,50.56,53.88,61.16
41.6,56.2,42.68,48.4,49.48
38.28,58.16,40.28,42.24,50.56
37.8,60.6,38.96,45.76,49.92
43.12,68.48,43.76,46.56,59.4
41.04,73.64,54.8,48.44,60.92
37.08,73.36,54.52,57.64,64.84
42.8,66.44,51.16,51.52,58.84
35.08,65.8,53.24,46.6,60.32
39.8,67.32,47.84,48.16,61.32
38.88,66.04,45.6,47.12,56.08
39.04,69.28,47.36,50.92,62.84
38.72,60.24,47.2,47.08,56.96
35.72,65.64,43.68,48.4,58.84
35.92,57.6,41.68,46.12,46.76
40.04,70.2,51.08,53.68,67.48
40.2,61.72,41.72,45.8,54.24
38.12,63.0,44.12,48.32,56.52
35.8,55.4,46.12,48.0,52.68
40.32,54.8,45.48,47.72,49.0
41.72,66.52,45.2,45.52,56.96
39.28,61.12,47.64,47.04,55.52
42.64,66.88,45.56,56.36,55.52
41.24,60.0,43.88,49.6,51.72
39.08,61.4,48.72,49.56,52.28
36.48,63.08,36.6,40.24,51.56
37.52,59.88,40.36,46.48,50.04
37.6,71.08,40.96,42.8,56.6
39.64,59.6,39.52,44.6,53.6
35.56,64.84,41.64,46.4,56.52
37.92,67.52,42.96,50.52,56.72
39.6,61.76,43.56,44.6,55.24
44.12,60.48,43.48,52.08,57.92
40.0,67.52,38.8,48.4,54.32
37.36,62.24,43.0,44.12,53.48
39.8,54.08,35.6,41.84,50.44
40.44,54.52,36.4,45.16,50.68
36.36,61.48,47.04,54.16,57.96
40.68,69.16,40.8,45.2,60.36
41.32,68.2,48.0,50.96,61.88
38.88,65.24,50.92,47.88,53.44
39.92,72.12,49.36,44.88,59.44
35.8,60.0,39.08,41.44,55.04
41.96,59.28,44.76,49.04,53.4
38.76,65.72,46.8,55.44,59.48
36.08,58.92,35.52,41.68,55.76
38.92,69.84,42.16,51.48,63.08
40.68,64.88,47.16,53.6,58.32
30.24,58.68,40.0,45.16,51.2
38.92,56.44,45.08,50.88,50.76
