"(0, 1000, 'epsilon_greedy', 0.1, 10)","(0.75, 1000, 'greedy', 0, 5)","(1, 1000, 'greedy', 0, 10)","(1, 1000, 'epsilon_greedy', 0.1, 10)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
19.2,76.4,76.4,41.2,45.2
34.4,70.8,70.8,40.0,34.8
45.6,67.2,67.2,59.6,21.6
40.0,62.0,62.0,22.0,32.4
30.4,48.4,48.4,31.2,20.8
22.4,53.2,53.2,39.6,32.0
30.4,44.0,44.0,44.0,23.2
46.0,51.2,51.2,34.8,29.6
29.6,66.8,66.8,50.8,37.2
42.0,69.6,69.6,60.4,30.4
36.0,63.2,63.2,31.6,36.0
29.6,63.2,63.2,41.6,34.0
36.8,62.8,62.8,34.0,36.8
51.2,61.6,61.6,36.0,39.6
30.4,87.6,87.6,30.8,29.6
51.6,84.4,84.4,32.8,36.0
40.8,77.2,77.2,52.0,41.2
50.8,78.4,78.4,40.8,44.0
36.8,71.2,71.2,46.4,43.6
43.2,88.4,88.4,41.6,44.0
33.6,55.2,55.2,37.6,35.6
23.6,62.0,62.0,34.0,23.2
28.0,60.4,60.4,35.6,36.8
30.8,76.0,76.0,24.4,36.0
24.4,50.8,50.8,48.0,23.6
30.4,68.4,68.4,45.6,32.4
33.2,56.4,56.4,34.8,38.4
38.0,63.2,63.2,39.6,37.2
41.2,69.6,69.6,18.0,38.8
26.8,86.0,86.0,34.4,29.2
36.8,63.6,63.6,36.4,34.0
36.0,42.4,42.4,21.6,38.8
39.6,42.0,42.0,35.2,36.4
35.2,50.0,50.0,26.8,42.4
22.8,39.2,39.2,29.6,31.6
19.6,80.8,80.8,34.0,32.4
36.4,62.0,62.0,40.0,30.8
43.2,52.8,52.8,30.0,34.0
28.0,60.0,60.0,48.4,26.0
29.6,50.4,50.4,24.0,29.6
44.4,61.6,61.6,48.4,38.8
32.8,84.0,84.0,29.2,40.8
33.2,59.2,59.2,30.4,40.8
39.6,71.6,71.6,37.6,37.2
46.8,61.2,61.2,50.0,40.0
33.6,70.0,70.0,20.0,60.4
43.2,64.0,64.0,35.6,42.0
35.2,44.8,44.8,28.4,35.6
37.2,86.8,86.8,33.6,66.0
55.2,78.4,78.4,38.0,41.6
40.4,69.2,69.2,40.8,45.6
48.8,94.8,94.8,38.8,69.2
47.2,78.0,78.0,26.8,67.6
50.4,72.4,72.4,43.6,26.4
42.0,51.2,51.2,40.8,44.0
42.4,56.4,56.4,36.0,27.2
54.0,82.0,82.0,50.8,42.8
26.0,43.6,43.6,28.4,31.2
29.6,31.2,31.2,29.2,29.6
65.6,50.0,50.0,24.8,44.4
45.2,46.8,46.8,26.8,36.8
42.4,76.4,76.4,19.6,64.4
39.6,65.2,65.2,30.4,44.0
42.8,38.4,38.4,23.6,31.2
51.6,75.2,75.2,38.0,51.6
68.0,123.6,123.6,19.2,77.2
36.8,62.0,62.0,24.4,35.2
45.2,61.2,61.2,37.2,48.0
68.0,81.2,81.2,33.2,62.0
68.0,95.2,95.2,24.0,66.0
36.4,83.2,83.2,24.8,45.6
31.2,40.4,40.4,30.4,38.0
50.8,64.4,64.4,30.0,55.2
39.6,60.4,60.4,24.0,56.0
40.4,70.0,70.0,38.0,48.8
42.8,56.8,56.8,43.2,37.6
28.8,68.4,68.4,31.2,40.8
