,mean,Standard deviation
"('q_value_sampling', 'moment_updating', 0.1, 5, 0.25, 1)",149.88,30.553323878098762
"('q_value_sampling', 'moment_updating', 0.1, 5, 0.5, 1)",155.8,28.05494608798955
"('q_value_sampling', 'moment_updating', 0.1, 5, 0.75, 1)",160.52,29.817605537668513
"('q_value_sampling', 'moment_updating', 0.1, 5, 1, 1)",163.04,30.242327952722157
"('q_value_sampling', 'moment_updating', 0.1, 5, 1.5, 1)",163.96,35.30096882523198
"('q_value_sampling', 'moment_updating', 0.1, 5, 2, 1)",175.08,38.96092401368325
"('q_value_sampling', 'moment_updating', 0.1, 5, 3, 1)",169.56,29.05247665862585
"('q_value_sampling', 'moment_updating', 0.01, 2, 0.01, 1)",163.36,35.822763712477574
"('q_value_sampling', 'moment_updating', 0.01, 2, 0.05, 1)",167.4,38.237677753754866
"('q_value_sampling', 'moment_updating', 0.01, 2, 0.1, 1)",165.8,43.19120280797931
"('q_value_sampling', 'moment_updating', 0.01, 2, 0.25, 1)",175.96,61.61751698989501
"('q_value_sampling', 'moment_updating', 0.01, 2, 0.5, 1)",173.56,32.88109487228186
"('q_value_sampling', 'moment_updating', 0.01, 2, 0.75, 1)",190.6,51.821617111008806
"('q_value_sampling', 'moment_updating', 0.01, 2, 1, 1)",197.08,48.88387873317746
"('q_value_sampling', 'moment_updating', 0.01, 2, 1.5, 1)",211.44,61.92387584768899
"('q_value_sampling', 'moment_updating', 0.01, 2, 2, 1)",208.36,48.42427490422546
"('q_value_sampling', 'moment_updating', 0.01, 2, 3, 1)",196.32,44.671888252009225
"('q_value_sampling', 'moment_updating', 0.01, 1.1, 0.01, 1)",191.08,67.5280208506069
"('q_value_sampling', 'moment_updating', 0.01, 1.1, 0.05, 1)",184.32,47.913856033510804
"('q_value_sampling', 'moment_updating', 0.01, 1.1, 0.1, 1)",218.44,62.70985887402394
"('q_value_sampling', 'moment_updating', 0.01, 1.1, 0.25, 1)",219.48,60.754996502345385
"('q_value_sampling', 'moment_updating', 0.01, 1.1, 0.5, 1)",208.72,41.5668329320385
"('q_value_sampling', 'moment_updating', 0.01, 1.1, 0.75, 1)",224.88,53.51210704130421
"('q_value_sampling', 'moment_updating', 0.01, 1.1, 1, 1)",224.24,54.431814226608324
"('q_value_sampling', 'moment_updating', 0.01, 1.1, 1.5, 1)",227.84,51.73136766025039
"('q_value_sampling', 'moment_updating', 0.01, 1.1, 2, 1)",238.56,61.33324057964001
"('q_value_sampling', 'moment_updating', 0.01, 1.1, 3, 1)",241.08,76.84187400109396
"('q_value_sampling', 'moment_updating', 0.01, 1.01, 0.01, 1)",198.0,47.97666099261182
"('q_value_sampling', 'moment_updating', 0.01, 1.01, 0.05, 1)",235.28,66.79252652804803
"('q_value_sampling', 'moment_updating', 0.01, 1.01, 0.1, 1)",240.84,75.77766425537277
"('q_value_sampling', 'moment_updating', 0.01, 1.01, 0.25, 1)",264.4,73.00082191318123
"('q_value_sampling', 'moment_updating', 0.01, 1.01, 0.5, 1)",255.28,69.33831264171346
"('q_value_sampling', 'moment_updating', 0.01, 1.01, 0.75, 1)",259.04,60.6013069166004
"('q_value_sampling', 'moment_updating', 0.01, 1.01, 1, 1)",286.08,82.68006773098338
"('q_value_sampling', 'moment_updating', 0.01, 1.01, 1.5, 1)",259.04,58.40443818752133
"('q_value_sampling', 'moment_updating', 0.01, 1.01, 2, 1)",288.32,76.26413049396157
"('q_value_sampling', 'moment_updating', 0.01, 1.01, 3, 1)",275.6,81.59803919212764
"('q_value_sampling', 'moment_updating', 0.01, 1.001, 0.01, 1)",222.16,55.66160615720678
"('q_value_sampling', 'moment_updating', 0.01, 1.001, 0.05, 1)",263.04,68.09550939672894
"('q_value_sampling', 'moment_updating', 0.01, 1.001, 0.1, 1)",278.12,64.1765190704513
"('q_value_sampling', 'moment_updating', 0.01, 1.001, 0.25, 1)",276.4,65.21349553581682
"('q_value_sampling', 'moment_updating', 0.01, 1.001, 0.5, 1)",284.4,62.88402022771763
"('q_value_sampling', 'moment_updating', 0.01, 1.001, 0.75, 1)",282.52,74.23294147479271
"('q_value_sampling', 'moment_updating', 0.01, 1.001, 1, 1)",267.24,63.657697099408175
"('q_value_sampling', 'moment_updating', 0.01, 1.001, 1.5, 1)",248.8,62.23311015850004
"('q_value_sampling', 'moment_updating', 0.01, 1.001, 2, 1)",263.16,63.54852004570996
"('q_value_sampling', 'moment_updating', 0.01, 1.001, 3, 1)",266.04,51.55112413905249
"('q_value_sampling', 'moment_updating', 0.01, 1.0001, 0.01, 1)",273.08,73.77610453256528
"('q_value_sampling', 'moment_updating', 0.01, 1.0001, 0.05, 1)",273.2,63.86360465867864
"('q_value_sampling', 'moment_updating', 0.01, 1.0001, 0.1, 1)",266.4,61.16338774136044
"('q_value_sampling', 'moment_updating', 0.01, 1.0001, 0.25, 1)",276.08,60.70777215480733
"('q_value_sampling', 'moment_updating', 0.01, 1.0001, 0.5, 1)",257.4,61.08649605272838
"('q_value_sampling', 'moment_updating', 0.01, 1.0001, 0.75, 1)",227.28,56.44644895828257
"('q_value_sampling', 'moment_updating', 0.01, 1.0001, 1, 1)",207.4,61.91122676865642
"('q_value_sampling', 'moment_updating', 0.01, 1.0001, 1.5, 1)",195.04,58.0223956761525
"('q_value_sampling', 'moment_updating', 0.01, 1.0001, 2, 1)",185.68,56.448716548740066
"('q_value_sampling', 'moment_updating', 0.01, 1.0001, 3, 1)",172.36,39.88120359267007
"('q_value_sampling', 'moment_updating', 0.01, 1.25, 0.01, 1)",170.72,75.50444755112112
"('q_value_sampling', 'moment_updating', 0.01, 1.25, 0.05, 1)",200.88,68.76063990394505
"('q_value_sampling', 'moment_updating', 0.01, 1.25, 0.1, 1)",200.84,56.71132514762814
"('q_value_sampling', 'moment_updating', 0.01, 1.25, 0.25, 1)",198.32,46.04408322466634
"('q_value_sampling', 'moment_updating', 0.01, 1.25, 0.5, 1)",213.44,65.28098038479509
"('q_value_sampling', 'moment_updating', 0.01, 1.25, 0.75, 1)",214.32,50.41168118601085
"('q_value_sampling', 'moment_updating', 0.01, 1.25, 1, 1)",221.96,51.32093529934932
"('q_value_sampling', 'moment_updating', 0.01, 1.25, 1.5, 1)",216.96,47.751423015445305
"('q_value_sampling', 'moment_updating', 0.01, 1.25, 2, 1)",228.12,61.04609406014442
"('q_value_sampling', 'moment_updating', 0.01, 1.25, 3, 1)",217.24,52.89822681338194
"('q_value_sampling', 'moment_updating', 0.01, 1.5, 0.01, 1)",150.64,52.258495959987215
"('q_value_sampling', 'moment_updating', 0.01, 1.5, 0.05, 1)",182.28,81.09057651786672
"('q_value_sampling', 'moment_updating', 0.01, 1.5, 0.1, 1)",191.12,41.60992189370223
"('q_value_sampling', 'moment_updating', 0.01, 1.5, 0.25, 1)",209.44,68.29353117243244
"('q_value_sampling', 'moment_updating', 0.01, 1.5, 0.5, 1)",223.16,70.981789213854
"('q_value_sampling', 'moment_updating', 0.01, 1.5, 0.75, 1)",214.6,68.60116617084581
"('q_value_sampling', 'moment_updating', 0.01, 1.5, 1, 1)",228.88,71.67276749226306
"('q_value_sampling', 'moment_updating', 0.01, 1.5, 1.5, 1)",218.52,53.99675545808285
"('q_value_sampling', 'moment_updating', 0.01, 1.5, 2, 1)",214.84,49.16761535807894
"('q_value_sampling', 'moment_updating', 0.01, 1.5, 3, 1)",214.88,54.801693404492525
"('q_value_sampling', 'moment_updating', 0.01, 1.75, 0.01, 1)",161.76,48.20562622765106
"('q_value_sampling', 'moment_updating', 0.01, 1.75, 0.05, 1)",172.96,42.58119772857499
"('q_value_sampling', 'moment_updating', 0.01, 1.75, 0.1, 1)",171.04,38.34420947157471
"('q_value_sampling', 'moment_updating', 0.01, 1.75, 0.25, 1)",199.16,64.55396502152288
"('q_value_sampling', 'moment_updating', 0.01, 1.75, 0.5, 1)",194.64,57.93712454031525
"('q_value_sampling', 'moment_updating', 0.01, 1.75, 0.75, 1)",197.84,61.95848932955032
"('q_value_sampling', 'moment_updating', 0.01, 1.75, 1, 1)",195.4,44.77543969633353
"('q_value_sampling', 'moment_updating', 0.01, 1.75, 1.5, 1)",215.84,55.61847175174808
"('q_value_sampling', 'moment_updating', 0.01, 1.75, 2, 1)",224.04,55.21230297678226
"('q_value_sampling', 'moment_updating', 0.01, 1.75, 3, 1)",212.12,54.15889216001376
"('q_value_sampling', 'moment_updating', 0.01, 2, 0.01, 1)",163.36,35.822763712477574
"('q_value_sampling', 'moment_updating', 0.01, 2, 0.05, 1)",167.4,38.237677753754866
"('q_value_sampling', 'moment_updating', 0.01, 2, 0.1, 1)",165.8,43.19120280797931
"('q_value_sampling', 'moment_updating', 0.01, 2, 0.25, 1)",175.96,61.61751698989501
"('q_value_sampling', 'moment_updating', 0.01, 2, 0.5, 1)",173.56,32.88109487228186
"('q_value_sampling', 'moment_updating', 0.01, 2, 0.75, 1)",190.6,51.821617111008806
"('q_value_sampling', 'moment_updating', 0.01, 2, 1, 1)",197.08,48.88387873317746
"('q_value_sampling', 'moment_updating', 0.01, 2, 1.5, 1)",211.44,61.92387584768899
"('q_value_sampling', 'moment_updating', 0.01, 2, 2, 1)",208.36,48.42427490422546
"('q_value_sampling', 'moment_updating', 0.01, 2, 3, 1)",196.32,44.671888252009225
"('q_value_sampling', 'moment_updating', 0.01, 5, 0.01, 1)",147.16,32.535740348115645
"('q_value_sampling', 'moment_updating', 0.01, 5, 0.05, 1)",153.36,30.92556224226166
"('q_value_sampling', 'moment_updating', 0.01, 5, 0.1, 1)",154.96,30.33213477485553
"('q_value_sampling', 'moment_updating', 0.01, 5, 0.25, 1)",162.48,37.287123782882475
"('q_value_sampling', 'moment_updating', 0.01, 5, 0.5, 1)",171.36,34.18874668659265
