greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
28.8,40.72,29.36,33.68
31.28,36.6,33.16,35.2
31.28,36.2,32.68,36.2
27.28,40.24,32.88,34.88
27.8,30.64,26.68,30.0
26.52,39.72,29.88,31.28
30.52,36.6,29.0,39.48
29.04,40.56,35.72,37.2
28.96,36.72,31.48,37.64
32.56,34.92,33.16,36.72
32.24,36.56,31.84,37.16
30.6,33.8,30.44,34.88
32.6,35.56,33.4,35.44
29.4,37.44,32.12,34.44
29.68,40.08,35.76,35.52
31.76,38.08,29.08,33.8
31.36,31.92,29.56,39.16
30.12,34.76,30.84,36.16
33.64,35.64,26.68,30.52
31.04,36.2,35.8,38.04
30.48,37.36,29.76,38.08
29.32,38.2,31.68,34.8
33.64,32.44,26.24,35.44
30.44,36.32,33.04,36.76
32.16,37.32,34.44,36.84
32.36,35.04,31.24,37.32
30.16,37.16,36.92,36.12
33.4,37.28,29.48,40.36
29.04,38.76,33.76,36.68
28.32,39.68,31.52,35.76
28.72,36.04,33.92,36.6
28.84,40.36,30.08,39.8
30.64,39.84,34.96,41.6
27.36,41.96,31.48,36.28
30.44,38.6,28.52,35.44
26.8,38.76,27.88,35.16
36.04,39.72,31.48,36.48
30.52,39.96,33.04,35.08
35.76,36.8,37.12,37.36
33.0,35.04,32.88,36.0
30.32,36.44,31.8,35.64
32.16,34.04,27.0,36.44
28.28,42.12,30.52,35.04
28.52,36.48,28.0,38.56
31.84,32.92,29.04,40.84
32.28,35.36,32.44,34.88
30.84,37.72,33.12,38.28
33.44,39.72,33.68,39.8
32.84,38.6,32.76,35.2
31.56,34.52,36.36,33.8
29.04,35.52,30.36,37.6
29.56,41.48,31.32,35.08
28.92,31.28,29.04,36.16
30.32,39.0,32.68,34.48
26.96,39.6,30.64,41.24
28.68,37.6,28.24,39.48
27.8,37.12,29.72,37.36
25.36,36.88,31.8,36.44
26.84,35.68,32.0,35.8
35.2,36.24,32.76,36.04
33.48,36.88,30.48,36.0
33.68,35.6,33.72,42.4
32.8,39.16,27.84,34.56
30.08,39.08,31.88,40.76
30.76,36.4,29.6,35.96
28.6,37.96,26.6,41.44
31.68,37.28,33.12,35.84
32.64,37.52,31.4,36.92
31.56,35.12,28.84,37.36
33.36,36.28,35.32,39.6
30.04,38.48,31.44,33.52
31.52,34.28,33.32,38.48
29.92,40.0,29.44,38.32
31.04,34.88,28.32,36.56
30.84,33.0,31.76,35.48
28.32,39.72,33.64,32.56
31.12,40.6,32.96,38.0
29.48,39.96,31.24,35.36
