"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
36.6,53.28,36.8
36.52,51.04,35.8
36.84,51.6,35.88
35.52,58.0,34.92
38.04,57.6,37.4
35.76,53.52,36.84
33.64,52.08,34.36
35.92,50.56,36.72
33.48,47.92,38.72
35.92,56.84,35.0
35.28,54.48,36.56
33.48,48.0,35.6
37.32,52.88,36.32
33.88,53.0,33.6
36.32,55.76,34.8
34.16,46.24,35.68
34.12,45.44,37.52
37.32,59.44,34.36
38.24,48.4,36.12
40.4,61.04,36.44
33.28,50.04,34.92
34.12,49.96,38.04
37.56,54.12,36.52
33.48,57.64,37.52
34.28,56.76,35.04
34.36,55.12,34.8
34.0,63.56,35.64
34.28,54.52,36.12
36.68,55.52,35.24
35.0,61.32,33.92
33.56,47.04,36.44
38.0,56.36,35.72
34.96,48.72,37.96
36.56,47.64,36.52
38.24,53.44,34.84
34.8,51.4,37.28
39.24,54.6,36.28
34.8,54.96,34.68
32.84,57.36,37.68
35.92,57.32,36.0
36.56,54.96,36.96
33.4,51.2,37.16
33.8,54.28,36.8
34.4,48.2,33.76
33.8,59.92,35.0
32.56,53.48,38.72
33.88,55.12,39.6
34.48,59.32,37.16
37.92,46.8,39.8
34.56,57.2,37.64
35.68,59.28,36.36
33.32,57.08,38.68
35.6,48.72,36.32
41.68,51.12,38.96
35.76,53.24,36.16
35.52,59.92,36.52
39.0,46.64,34.76
37.16,51.76,36.56
38.48,52.56,37.6
37.56,50.16,38.96
34.16,52.4,36.48
34.84,50.72,34.04
38.4,54.48,37.92
35.52,54.44,33.4
34.44,49.04,34.92
38.04,53.88,36.8
37.24,50.4,35.04
35.4,52.88,40.6
36.6,57.48,38.88
35.92,51.56,36.44
32.0,49.4,37.12
35.04,51.84,37.04
35.88,53.64,35.56
33.88,50.4,35.96
35.84,57.16,36.72
40.36,50.96,34.2
35.12,51.88,34.76
35.12,49.04,37.04
35.72,53.92,33.6
35.12,58.76,36.0
32.56,49.08,36.56
37.8,63.2,36.72
34.32,52.6,35.8
36.32,55.68,36.56
36.84,52.2,36.12
33.8,50.92,34.84
32.36,55.12,33.8
40.4,62.64,34.56
35.96,60.2,34.0
33.96,50.56,36.12
36.88,55.72,38.36
35.12,50.88,36.92
37.92,59.04,34.28
36.0,43.76,35.68
34.92,57.4,38.6
33.68,55.68,33.44
35.72,46.84,37.44
42.24,55.28,35.4
36.8,55.88,35.92
34.32,54.2,37.16
34.12,49.24,34.52
35.96,49.6,35.28
36.36,58.72,35.84
41.2,53.4,34.6
33.48,56.4,35.8
36.76,49.36,34.84
36.04,55.28,37.96
35.12,48.96,34.16
36.0,53.28,36.72
35.2,49.04,36.56
36.72,55.28,36.08
34.2,50.76,35.48
36.56,54.32,38.0
35.2,51.24,37.4
33.48,47.84,35.84
34.88,52.72,38.48
34.6,55.8,38.68
40.08,60.08,33.48
34.84,51.04,34.76
33.32,53.28,34.2
38.08,50.36,35.2
36.4,50.72,33.64
37.2,46.32,35.76
33.88,50.0,33.04
39.92,48.88,35.24
35.12,49.6,39.56
37.44,48.72,34.68
36.08,56.2,36.76
35.48,55.2,39.08
34.88,58.52,36.2
37.4,47.8,37.0
35.36,51.88,35.88
36.12,55.32,35.12
33.68,50.88,34.4
37.52,50.8,36.64
37.24,52.0,39.32
34.36,52.72,36.2
36.88,50.28,34.84
37.52,49.56,41.28
37.68,58.52,36.76
33.48,53.64,36.44
36.48,55.24,36.12
35.16,53.76,35.88
36.4,50.76,36.36
33.36,50.96,37.88
35.96,53.72,35.12
34.56,54.76,35.44
34.48,54.56,39.92
37.16,53.64,39.48
40.36,55.28,36.16
35.52,54.96,34.6
34.52,51.6,36.72
37.52,54.12,36.12
36.84,48.32,35.52
41.6,47.92,35.6
36.04,49.08,35.24
35.2,48.0,37.32
35.76,52.28,35.72
35.12,53.6,34.32
35.08,51.64,35.28
40.24,56.0,35.52
39.16,50.48,34.52
35.96,50.16,36.76
33.72,55.12,35.6
37.08,63.48,35.32
37.28,51.0,37.56
36.0,56.32,36.8
35.52,54.72,36.08
35.84,55.0,39.8
38.16,52.48,34.36
35.88,53.64,35.72
35.2,59.68,39.2
35.72,54.04,35.72
35.04,53.48,38.04
34.44,59.16,35.96
34.68,51.8,37.48
36.8,56.48,37.32
34.64,50.72,35.2
36.96,53.2,36.12
35.76,48.08,36.6
34.2,52.24,36.04
35.96,50.44,42.44
36.76,50.92,34.64
36.88,54.08,36.68
34.36,55.44,35.24
33.88,55.04,35.92
35.88,53.28,36.48
37.56,50.88,35.4
36.12,49.32,34.52
36.04,47.36,36.92
35.64,57.92,40.92
37.52,57.48,34.08
33.32,51.52,35.44
38.28,58.4,34.48
36.04,49.16,34.8
37.8,50.6,36.16
37.4,52.8,38.72
37.04,53.32,37.4
34.84,50.88,40.12
41.4,53.64,35.6
37.08,51.32,34.6
37.56,52.28,34.44
41.88,52.52,35.76
37.64,59.28,37.72
37.64,50.8,35.52
39.24,49.56,34.6
34.84,56.6,34.96
42.72,55.64,36.68
38.08,53.68,36.0
37.44,57.48,37.44
36.56,47.52,35.4
38.16,57.08,37.52
33.88,59.36,36.52
36.0,59.2,36.48
38.6,52.88,36.68
42.2,51.96,41.2
36.24,54.68,37.84
35.8,57.88,34.28
37.8,53.12,34.36
37.32,48.8,34.52
34.44,52.76,35.16
37.44,52.44,33.56
36.0,55.84,34.6
37.04,60.52,34.6
33.0,56.64,34.88
37.24,55.24,38.28
40.84,51.56,39.64
38.2,50.52,38.2
37.6,52.28,34.12
39.16,56.16,33.92
34.44,53.16,37.76
36.12,54.08,34.48
37.68,53.08,36.68
36.88,53.84,37.28
35.6,54.32,34.8
38.56,57.84,34.96
38.64,57.16,35.28
35.16,52.36,37.24
37.12,55.04,35.12
35.24,61.24,35.92
33.92,50.88,37.0
39.24,52.2,34.76
37.84,48.6,36.44
35.6,51.88,35.24
39.04,51.12,34.92
40.2,51.8,35.48
39.16,54.84,37.32
34.76,51.76,35.8
38.4,55.4,34.96
37.28,55.04,36.68
37.32,58.6,34.64
37.28,49.04,37.52
39.48,63.92,34.16
36.92,49.36,35.04
34.44,60.0,36.48
37.36,59.36,37.96
37.0,49.88,35.84
35.52,47.12,35.72
36.92,50.32,34.56
39.52,50.44,34.24
34.84,57.08,37.68
34.76,45.96,36.16
37.16,54.2,34.0
38.84,51.68,36.56
40.0,61.48,37.32
38.52,52.04,33.96
37.0,50.48,34.64
34.96,57.2,35.44
35.04,53.32,36.8
34.8,55.96,38.16
36.04,54.64,38.12
35.84,59.52,35.0
35.64,57.96,36.76
34.84,58.52,38.72
35.92,55.24,34.2
38.8,59.2,36.28
32.88,58.24,37.04
34.88,51.72,35.56
35.52,54.04,36.2
34.84,53.64,36.8
44.0,54.16,36.76
37.36,59.4,35.52
34.76,54.12,34.04
38.96,50.76,33.32
37.72,52.76,36.6
35.12,58.56,36.28
35.84,58.28,36.88
37.8,57.0,39.24
37.0,53.64,37.28
38.72,49.36,37.4
37.68,48.24,37.12
35.92,51.52,35.28
36.8,58.92,37.84
39.56,55.52,35.64
35.68,42.12,35.76
37.28,57.64,37.76
40.48,53.2,34.96
38.96,54.68,36.6
35.76,47.92,38.4
37.0,56.56,34.48
36.92,53.64,36.6
37.16,59.76,36.44
37.0,52.16,38.24
39.24,57.44,37.48
35.36,49.04,36.84
36.84,50.4,37.2
35.72,57.96,35.0
36.6,48.4,35.68
37.24,52.64,36.0
35.0,51.8,34.8
37.24,49.32,36.16
36.52,54.24,37.48
33.96,54.76,38.32
36.88,61.6,35.4
35.0,57.08,35.92
35.08,52.04,35.56
36.68,51.56,38.2
36.48,50.04,37.52
33.8,54.04,35.16
36.12,57.12,36.04
37.08,55.76,36.08
37.6,56.2,36.08
36.28,58.36,35.44
35.76,51.32,36.12
36.96,50.44,36.44
34.32,51.44,41.4
37.0,48.76,35.8
36.48,55.8,35.64
35.72,59.32,36.64
43.48,56.84,33.64
38.16,49.96,38.4
37.4,48.32,35.64
36.12,51.8,35.28
37.92,49.28,33.72
35.72,56.2,36.4
35.96,46.08,36.04
38.84,47.64,36.44
37.52,58.68,41.16
38.88,58.08,35.92
35.4,56.84,36.64
36.72,62.88,36.4
36.44,56.6,36.24
37.12,48.92,37.4
33.92,60.08,34.08
37.36,63.68,36.2
36.24,55.56,37.56
36.8,46.72,34.2
38.4,49.0,35.2
37.72,47.16,36.4
36.4,52.04,37.8
35.88,51.56,39.92
36.04,59.0,40.48
39.56,55.2,37.56
36.6,55.76,36.28
38.08,58.52,35.48
37.48,51.12,34.48
36.16,58.04,36.2
36.56,57.12,35.16
37.32,57.04,36.76
40.0,47.0,35.8
35.88,56.76,34.16
39.4,59.8,34.8
43.48,53.04,38.48
33.68,58.32,38.56
41.6,49.76,37.64
37.24,55.08,35.36
36.32,58.56,37.16
34.08,51.72,37.24
32.4,55.12,37.44
35.88,52.08,35.64
36.64,61.64,36.2
35.32,50.64,35.6
38.44,51.64,34.88
36.24,48.76,35.56
41.68,50.8,38.12
38.92,57.68,38.56
37.56,56.12,35.84
38.92,51.84,36.8
38.0,54.48,35.08
39.48,51.4,34.52
35.72,53.2,36.24
36.2,53.72,35.0
36.44,55.32,35.2
36.72,57.0,34.88
38.84,49.56,35.28
42.84,55.36,34.6
35.12,55.92,35.32
35.28,48.64,34.8
35.6,53.68,38.28
34.56,56.96,36.84
35.52,55.92,39.2
37.6,49.64,36.24
39.2,63.24,34.2
38.76,48.8,36.24
34.52,53.64,36.52
37.64,47.08,36.56
39.24,51.04,34.44
35.36,53.24,37.96
39.36,50.04,34.08
36.6,66.28,37.2
36.56,61.2,35.32
36.0,57.16,39.76
37.76,53.28,37.0
33.08,55.8,35.68
38.68,56.68,41.68
36.84,46.92,35.28
35.6,59.8,40.88
38.8,53.48,38.2
39.44,54.56,34.48
40.32,64.96,35.36
38.68,51.72,34.8
33.96,51.56,35.04
36.84,47.96,33.92
38.96,62.28,34.92
37.0,50.44,34.8
39.32,45.12,35.68
34.96,52.68,35.8
37.08,48.76,33.44
37.24,52.32,36.0
36.32,60.0,36.56
35.92,59.32,35.36
38.12,54.96,38.28
37.0,54.16,37.32
34.76,54.28,36.52
36.12,54.92,40.32
33.96,60.32,35.68
34.6,57.68,41.76
35.56,53.44,38.0
37.12,58.36,39.8
36.64,61.88,37.6
